show_id,type,title,director,cast,country,year_added,release_year,rating,duration,category
70271599,Movie,"One Direction: This Is Us","Morgan Spurlock","Harry Styles, Niall Horan, Zayn Malik, Louis Tomlinson, Liam Payne","United States",2019,2013,PG,"92 min","Documentaries, Music & Musicals"
70020699,Movie,"Raging Bull","Martin Scorsese","Robert De Niro, Cathy Moriarty, Joe Pesci, Frank Vincent, Nicholas Colasanto, Theresa Saldana, Mario Gallo, Frank Adonis, Joseph Bono","United States",2019,1980,R,"129 min","Classic Movies, Dramas, Sports Movies"
60003540,Movie,"Rugrats in Paris: The Movie","Stig Bergqvist, Paul Demeyer","Elizabeth Daily, Tara Strong, Cheryl Chase, Christine Cavanaugh, Cree Summer, Kath Soucie, Michael Bell, Tress MacNeille, Casey Kasem, Joe Alaskey, Debbie Reynolds, Jack Riley, Susan Sarandon, John Lithgow","Germany, United States",2019,2000,G,"79 min","Children & Family Movies, Comedies"
1181550,Movie,"Scream 2","Wes Craven","Neve Campbell, David Arquette, Courteney Cox, Sarah Michelle Gellar, Jamie Kennedy, Laurie Metcalf, Elise Neal, Jerry O'Connell, Timothy Olyphant, Jada Pinkett Smith, Liev Schreiber, Lewis Arquette, Duane Martin, Rebecca Gayheart, Portia de Rossi, Omar Epps, Tori Spelling, Heather Graham, Joshua Jackson, Luke Wilson","United States",2019,1997,R,"121 min","Horror Movies"
70170051,Movie,Senna,"Asif Kapadia","Ayrton Senna, Alain Prost, Frank Williams","United Kingdom, France, United States",2019,2010,PG-13,"106 min","Documentaries, International Movies, Sports Movies"
80987077,"TV Show",Signal,,"Kim Hye-su, Lee Je-hoon, Cho Jin-woong, Jang Hyun-sung, Jeong Hae-gyoon, Kim Won-hae, Jung Han-bi, Lee Yu-jun, Son Hyeon-ju","South Korea",2019,2016,TV-14,"1 Season","Crime TV Shows, International TV Shows, Korean TV Shows"
70021630,Movie,"Sin City","Robert Rodriguez, Frank Miller","Bruce Willis, Mickey Rourke, Jessica Alba, Clive Owen, Rosario Dawson, Benicio Del Toro, Nick Stahl, Elijah Wood, Rutger Hauer, Powers Boothe, Devon Aoki, Alexis Bledel, Josh Hartnett, Jaime King, Brittany Murphy, Michael Clarke Duncan, Michael Madsen","United States",2019,2005,R,"124 min","Action & Adventure"
81043753,Movie,"Sinister Circle","Dorian Fernández-Moris","Milene Vázquez, Matías Raygada, Claudia Dammert, Marcello Rivera, Atilia Boschetti, Hernán Romero, Ismael Contreras, Pietro Sibille, Leslie Shaw",Peru,2019,2017,TV-MA,"87 min","Horror Movies, International Movies"
60001761,Movie,Supergirl,"Jeannot Szwarc","Faye Dunaway, Hart Bochner, Helen Slater, Peter Cook","United Kingdom, United States",2019,1984,PG,"125 min","Action & Adventure, Sci-Fi & Fantasy"
70041963,Movie,"Superman Returns","Bryan Singer","Brandon Routh, Kate Bosworth, Kevin Spacey, James Marsden, Parker Posey, Frank Langella, Sam Huntington, Eva Marie Saint, Marlon Brando, Kal Penn","United States",2019,2006,PG-13,"154 min","Action & Adventure, Sci-Fi & Fantasy"
